ClassName,URL
Activatable,https://docs.oracle.com/javase/8/docs/api/java/rmi/activation/Activatable.html
ActivationDesc,https://docs.oracle.com/javase/8/docs/api/java/rmi/activation/ActivationDesc.html
ActivationGroup,https://docs.oracle.com/javase/8/docs/api/java/rmi/activation/ActivationGroup.html
ActivationGroup_Stub,https://docs.oracle.com/javase/8/docs/api/java/rmi/activation/ActivationGroup_Stub.html
ActivationGroupDesc,https://docs.oracle.com/javase/8/docs/api/java/rmi/activation/ActivationGroupDesc.html
ActivationGroupDesc.CommandEnvironment,https://docs.oracle.com/javase/8/docs/api/java/rmi/activation/ActivationGroupDesc.CommandEnvironment.html
ActivationGroupID,https://docs.oracle.com/javase/8/docs/api/java/rmi/activation/ActivationGroupID.html
ActivationID,https://docs.oracle.com/javase/8/docs/api/java/rmi/activation/ActivationID.html
