ClassName,URL
ChoiceCallback,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/callback/ChoiceCallback.html
ConfirmationCallback,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/callback/ConfirmationCallback.html
LanguageCallback,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/callback/LanguageCallback.html
NameCallback,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/callback/NameCallback.html
PasswordCallback,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/callback/PasswordCallback.html
TextInputCallback,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/callback/TextInputCallback.html
TextOutputCallback,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/callback/TextOutputCallback.html
