ClassName,Method,Return Type
LocateRegistry,createRegistry(int port),static Registry
LocateRegistry,"createRegistry(int port, RMIClientSocketFactory csf, RMIServerSocketFactory ssf)",static Registry
LocateRegistry,getRegistry(),static Registry
LocateRegistry,getRegistry(int port),static Registry
LocateRegistry,getRegistry(String host),static Registry
LocateRegistry,"getRegistry(String host, int port)",static Registry
LocateRegistry,"getRegistry(String host, int port, RMIClientSocketFactory csf)",static Registry
